PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",19-1029,"Biological Scientists, All Other",detailed,100,26.5,0.101,0.43,41.28,"85,870",4.7,23.80,32.25,39.73,47.94,55.95,"49,510","67,080","82,650","99,720","116,380",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",19-1042,"Medical Scientists, Except Epidemiologists",detailed,"1,350",25.0,1.333,1.76,54.26,"112,860",3.8,30.48,41.17,52.75,60.87,79.84,"63,390","85,640","109,710","126,600","166,070",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",19-1099,"Life Scientists, All Other",detailed,240,17.5,0.239,3.63,52.48,"109,160",3.3,36.01,43.32,50.49,59.99,73.26,"74,910","90,100","105,020","124,790","152,370",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",19-2012,Physicists,detailed,**,**,**,**,60.03,"124,850",7.0,40.18,47.72,60.26,75.96,86.22,"83,570","99,250","125,340","158,000","179,330",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",19-2021,Atmospheric and Space Scientists,detailed,70,35.0,0.069,0.92,36.38,"75,680",4.5,30.62,32.39,35.34,39.42,45.65,"63,680","67,370","73,510","81,980","94,950",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",19-2031,Chemists,detailed,790,28.7,0.786,1.28,47.57,"98,950",5.3,24.61,32.69,44.10,60.10,74.40,"51,190","67,990","91,720","125,010","154,740",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",19-2032,Materials Scientists,detailed,160,29.8,0.159,3.22,55.41,"115,260",5.6,38.18,43.53,54.86,67.83,76.46,"79,420","90,540","114,120","141,090","159,030",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",19-2041,"Environmental Scientists and Specialists, Including Health",detailed,660,24.9,0.656,1.04,43.74,"90,980",11.4,25.04,29.15,36.08,52.38,81.66,"52,070","60,630","75,050","108,950","169,860",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed,180,44.5,0.174,0.75,44.80,"93,180",17.3,25.38,28.31,51.56,57.66,61.53,"52,790","58,870","107,240","119,940","127,970",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",19-2099,"Physical Scientists, All Other",detailed,270,36.8,0.262,1.71,60.55,"125,940",5.9,39.96,50.21,59.14,73.53,77.56,"83,110","104,440","123,000","152,940","161,320",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",19-3011,Economists,detailed,250,44.9,0.249,1.80,*,*,*,*,*,*,*,*,*,*,*,*,*,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",19-3031,"Clinical, Counseling, and School Psychologists",detailed,560,14.8,0.557,0.73,49.94,"103,880",7.9,26.23,31.01,43.48,55.73,81.78,"54,570","64,490","90,440","115,910","170,100",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",19-3039,"Psychologists, All Other",detailed,100,2.7,0.097,1.08,43.07,"89,590",4.1,13.65,24.05,49.10,58.59,61.76,"28,390","50,020","102,120","121,870","128,460",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",19-3041,Sociologists,detailed,**,**,**,**,45.23,"94,070",8.9,32.11,34.42,38.31,53.71,70.30,"66,780","71,590","79,670","111,710","146,220",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",19-3051,Urban and Regional Planners,detailed,220,9.5,0.222,0.86,41.99,"87,340",2.9,25.53,33.10,42.61,50.42,58.88,"53,110","68,840","88,630","104,860","122,480",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",19-4011,Agricultural and Food Science Technicians,detailed,**,**,**,**,25.78,"53,630",3.7,15.31,17.76,25.70,30.12,36.06,"31,840","36,950","53,450","62,660","75,010",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",19-4021,Biological Technicians,detailed,810,21.6,0.804,1.52,27.18,"56,530",8.5,16.32,19.74,23.64,30.39,44.46,"33,950","41,060","49,170","63,200","92,470",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",19-4031,Chemical Technicians,detailed,610,22.1,0.602,1.28,25.20,"52,420",4.3,13.42,17.40,24.74,29.91,39.64,"27,900","36,200","51,450","62,210","82,440",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",19-4061,Social Science Research Assistants,detailed,70,35.8,0.070,0.34,24.25,"50,450",7.8,13.35,17.54,25.46,29.64,34.79,"27,760","36,490","52,960","61,660","72,360",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",19-4091,"Environmental Science and Protection Technicians, Including Health",detailed,130,25.5,0.129,0.52,21.04,"43,760",4.9,15.79,17.40,20.21,23.23,28.85,"32,830","36,200","42,040","48,330","60,020",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",19-4092,Forensic Science Technicians,detailed,90,42.3,0.093,0.91,36.30,"75,510",2.0,27.06,31.19,35.48,41.16,47.94,"56,280","64,880","73,810","85,610","99,700",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed,"1,210",6.3,1.194,2.29,29.66,"61,690",2.5,19.71,23.25,28.50,35.42,43.21,"41,000","48,350","59,280","73,670","89,870",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",21-0000,Community and Social Service Occupations,major,"10,730",20.5,10.609,0.74,26.04,"54,160",3.2,12.68,17.51,23.78,32.26,44.21,"26,380","36,410","49,460","67,110","91,950",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",21-1011,Substance Abuse and Behavioral Disorder Counselors,detailed,530,49.9,0.529,0.84,17.44,"36,270",3.7,10.08,13.27,16.32,21.54,25.59,"20,970","27,610","33,940","44,810","53,230",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",21-1012,"Educational, Guidance, School, and Vocational Counselors",detailed,"1,070",8.5,1.062,0.58,34.57,"71,910",4.9,19.92,25.71,34.51,43.77,50.34,"41,440","53,470","71,790","91,030","104,720",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",21-1013,Marriage and Family Therapists,detailed,150,19.4,0.150,0.64,28.16,"58,560",5.5,16.90,21.97,26.76,31.21,41.18,"35,150","45,690","55,660","64,920","85,650",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",21-1014,Mental Health Counselors,detailed,710,16.3,0.702,0.76,21.43,"44,580",3.9,13.44,16.00,20.83,24.82,31.15,"27,950","33,270","43,320","51,620","64,790",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",21-1015,Rehabilitation Counselors,detailed,610,25.6,0.599,0.81,19.67,"40,910",7.6,11.65,13.63,18.34,24.58,31.01,"24,230","28,350","38,150","51,130","64,490",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",21-1019,"Counselors, All Other",detailed,100,35.4,0.096,0.50,27.27,"56,720",19.7,17.60,20.37,24.44,30.35,43.63,"36,600","42,370","50,840","63,130","90,750",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",21-1021,"Child, Family, and School Social Workers",detailed,"1,170",19.9,1.157,0.54,23.34,"48,550",3.7,14.97,18.14,22.18,27.33,33.43,"31,130","37,720","46,140","56,850","69,530",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",21-1022,Healthcare Social Workers,detailed,660,14.0,0.655,0.58,38.25,"79,570",4.2,21.37,27.44,36.32,47.82,59.53,"44,460","57,070","75,550","99,460","123,820",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",21-1023,Mental Health and Substance Abuse Social Workers,detailed,810,22.3,0.802,1.01,25.68,"53,420",6.1,13.85,19.97,23.62,30.08,39.21,"28,810","41,540","49,130","62,560","81,560",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",21-1029,"Social Workers, All Other",detailed,**,**,**,**,39.83,"82,850",2.6,27.01,33.93,41.66,46.49,49.28,"56,180","70,580","86,660","96,710","102,500",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",21-1091,Health Educators,detailed,280,19.7,0.279,0.67,33.09,"68,830",4.8,20.32,22.89,28.79,39.46,53.85,"42,260","47,600","59,880","82,080","112,000",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",21-1093,Social and Human Service Assistants,detailed,"2,150",38.7,2.129,0.82,20.21,"42,040",4.6,11.76,14.76,20.44,25.58,28.83,"24,460","30,690","42,520","53,210","59,960",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",21-1094,Community Health Workers,detailed,270,37.8,0.263,0.75,24.45,"50,850",9.6,13.81,17.95,22.52,31.91,37.74,"28,720","37,340","46,840","66,370","78,490",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",21-1099,"Community and Social Service Specialists, All Other",detailed,730,16.1,0.726,1.06,19.54,"40,630",7.2,9.98,10.92,18.88,24.67,34.06,"20,760","22,720","39,260","51,300","70,840",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",21-2011,Clergy,detailed,260,19.8,0.259,0.74,28.82,"59,940",5.3,15.08,20.78,26.96,35.46,45.63,"31,360","43,220","56,080","73,760","94,920",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",21-2021,"Directors, Religious Activities and Education",detailed,170,29.8,0.166,1.13,20.96,"43,590",7.9,11.77,12.98,16.55,27.39,36.76,"24,490","26,990","34,430","56,960","76,450",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",23-0000,Legal Occupations,major,"9,040",9.8,8.932,1.16,73.74,"153,380",5.1,22.86,35.00,65.69,#,#,"47,550","72,800","136,630",#,#,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",23-1011,Lawyers,detailed,"5,430",8.9,5.362,1.21,98.08,"204,010",4.6,43.94,68.72,#,#,#,"91,390","142,930",#,#,#,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",detailed,40,4.3,0.044,0.42,58.46,"121,590",14.1,31.80,53.01,60.58,61.76,81.11,"66,130","110,250","126,010","128,460","168,700",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",23-2011,Paralegals and Legal Assistants,detailed,"2,620",28.2,2.590,1.31,33.41,"69,490",3.9,17.37,22.36,31.37,43.27,53.44,"36,130","46,510","65,250","90,000","111,150",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",23-2093,"Title Examiners, Abstractors, and Searchers",detailed,**,**,**,**,29.71,"61,800",7.1,11.62,19.41,27.06,39.12,53.75,"24,160","40,370","56,280","81,360","111,800",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",23-2099,"Legal Support Workers, All Other",detailed,330,12.1,0.325,0.98,41.06,"85,400",7.0,18.78,26.71,37.95,52.53,66.51,"39,060","55,560","78,930","109,270","138,340",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-0000,"Education, Training, and Library Occupations",major,"54,070",2.7,53.438,0.86,30.82,"64,110",6.7,13.36,18.65,28.00,39.71,49.45,"27,780","38,790","58,250","82,600","102,860",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-1011,"Business Teachers, Postsecondary",detailed,**,**,**,**,*,"93,450",2.3,*,*,*,*,*,"47,590","66,350","88,800","116,530","147,690",TRUE,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-1021,"Computer Science Teachers, Postsecondary",detailed,50,20.0,0.053,0.22,*,"98,050",9.2,*,*,*,*,*,"50,950","73,430","107,120","122,780","137,240",TRUE,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-1022,"Mathematical Science Teachers, Postsecondary",detailed,250,36.8,0.248,0.64,*,"91,250",1.5,*,*,*,*,*,"48,870","65,280","87,720","108,610","145,060",TRUE,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-1042,"Biological Science Teachers, Postsecondary",detailed,500,6.1,0.498,1.33,*,"76,060",6.0,*,*,*,*,*,"55,690","62,990","72,320","81,170","100,410",TRUE,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-1052,"Chemistry Teachers, Postsecondary",detailed,70,22.5,0.066,0.42,*,"115,080",8.8,*,*,*,*,*,"75,420","92,440","110,850","126,640","149,620",TRUE,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-1054,"Physics Teachers, Postsecondary",detailed,**,**,**,**,*,"84,460",4.3,*,*,*,*,*,"51,700","65,070","80,350","102,340","121,960",TRUE,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-1066,"Psychology Teachers, Postsecondary",detailed,**,**,**,**,*,"86,770",4.5,*,*,*,*,*,"44,250","57,390","75,310","100,760","146,360",TRUE,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-1067,"Sociology Teachers, Postsecondary",detailed,30,22.9,0.033,0.28,*,"88,980",5.5,*,*,*,*,*,"62,030","72,640","90,320","107,460","122,940",TRUE,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-1072,"Nursing Instructors and Teachers, Postsecondary",detailed,100,15.5,0.102,0.24,*,"201,340",24.1,*,*,*,*,*,"75,530","97,390",#,#,#,TRUE,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-1081,"Education Teachers, Postsecondary",detailed,50,17.7,0.050,0.11,*,"92,060",2.6,*,*,*,*,*,"60,120","82,200","92,720","103,700","126,110",TRUE,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-1112,"Law Teachers, Postsecondary",detailed,110,29.9,0.107,0.90,*,*,*,*,*,*,*,*,*,*,*,*,*,TRUE,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-1121,"Art, Drama, and Music Teachers, Postsecondary",detailed,530,28.8,0.520,0.73,*,"71,480",6.0,*,*,*,*,*,"29,490","46,460","72,400","90,050","108,100",TRUE,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-1122,"Communications Teachers, Postsecondary",detailed,80,26.4,0.076,0.36,*,"89,520",4.1,*,*,*,*,*,"50,550","68,940","90,100","114,870","129,610",TRUE,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-1123,"English Language and Literature Teachers, Postsecondary",detailed,440,44.3,0.436,0.79,*,"70,350",21.0,*,*,*,*,*,"27,330","31,130","67,570","95,760","126,460",TRUE,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-1124,"Foreign Language and Literature Teachers, Postsecondary",detailed,350,42.9,0.346,1.59,*,"68,940",8.8,*,*,*,*,*,"39,330","51,820","69,760","79,450","101,040",TRUE,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-1126,"Philosophy and Religion Teachers, Postsecondary",detailed,50,36.1,0.048,0.28,*,"85,880",8.8,*,*,*,*,*,"47,250","64,030","84,260","106,370","133,990",TRUE,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-1191,Graduate Teaching Assistants,detailed,620,0.7,0.609,0.67,*,"27,360",2.9,*,*,*,*,*,"20,790","22,800","26,390","30,310","36,550",TRUE,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",detailed,100,36.9,0.100,0.77,*,"91,320",2.9,*,*,*,*,*,"47,630","67,290","82,120","114,260","143,380",TRUE,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-1194,"Vocational Education Teachers, Postsecondary",detailed,720,32.5,0.708,0.82,31.05,"64,570",12.1,17.98,20.97,26.41,39.44,53.25,"37,390","43,630","54,930","82,030","110,770",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-1199,"Postsecondary Teachers, All Other",detailed,**,**,**,**,*,"84,210",6.6,*,*,*,*,*,"43,960","55,620","78,770","109,270","130,750",TRUE,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-2011,"Preschool Teachers, Except Special Education",detailed,"4,470",10.9,4.416,1.64,19.31,"40,170",5.0,12.42,14.82,17.85,22.30,29.27,"25,830","30,830","37,130","46,380","60,880",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-2012,"Kindergarten Teachers, Except Special Education",detailed,"1,000",22.6,0.991,0.86,*,"66,170",4.7,*,*,*,*,*,"41,130","49,090","66,080","85,260","94,280",TRUE,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-2021,"Elementary School Teachers, Except Special Education",detailed,"7,470",11.0,7.379,0.74,*,"75,700",3.5,*,*,*,*,*,"47,920","59,660","74,990","90,130","101,390",TRUE,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-2022,"Middle School Teachers, Except Special and Career/Technical Education",detailed,"3,440",15.1,3.395,0.74,*,"73,400",3.8,*,*,*,*,*,"48,540","59,570","76,120","89,400","97,080",TRUE,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",detailed,"5,010",26.9,4.949,0.71,*,"75,460",1.8,*,*,*,*,*,"52,800","62,260","75,540","89,690","99,230",TRUE,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,920,30.3,0.907,0.64,*,"65,350",3.0,*,*,*,*,*,"46,610","54,620","64,000","77,720","88,750",TRUE,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-2053,"Special Education Teachers, Middle School",detailed,270,35.8,0.262,0.40,*,"70,780",3.9,*,*,*,*,*,"48,580","62,810","72,250","82,610","93,300",TRUE,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-2054,"Special Education Teachers, Secondary School",detailed,120,33.9,0.119,0.13,*,"76,880",2.8,*,*,*,*,*,"54,610","63,880","77,470","90,630","99,320",TRUE,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-2059,"Special Education Teachers, All Other",detailed,**,**,**,**,*,"62,050",11.9,*,*,*,*,*,"41,550","45,980","56,980","75,500","92,690",TRUE,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,detailed,**,**,**,**,32.13,"66,820",4.2,20.10,30.96,33.57,36.18,37.75,"41,810","64,390","69,830","75,260","78,520",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-3021,Self-Enrichment Education Teachers,detailed,"1,530",15.9,1.515,0.96,22.93,"47,700",6.8,12.23,15.44,21.80,30.28,35.70,"25,430","32,110","45,350","62,970","74,250",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-3097,"Teachers and Instructors, All Other, Except Substitute Teachers",detailed,"1,610",12.7,1.592,0.80,*,"44,100",7.9,*,*,*,*,*,"23,690","28,420","40,380","49,780","83,640",TRUE,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-3098,Substitute Teachers,detailed,"3,380",14.8,3.337,0.73,20.12,"41,860",2.7,15.40,17.77,20.46,22.57,23.84,"32,030","36,950","42,560","46,940","49,600",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-4012,Curators,detailed,80,17.4,0.076,0.89,33.14,"68,930",8.1,18.14,24.01,31.37,40.33,49.18,"37,740","49,930","65,250","83,890","102,290",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-4021,Librarians,detailed,710,17.4,0.702,0.74,39.53,"82,220",2.8,25.46,32.15,38.83,46.90,56.11,"52,960","66,870","80,770","97,550","116,700",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-4031,Library Technicians,detailed,720,18.5,0.715,1.05,23.65,"49,200",3.7,15.57,18.99,23.74,28.36,32.26,"32,380","39,500","49,370","58,990","67,100",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-9011,Audio-Visual and Multimedia Collections Specialists,detailed,120,12.1,0.116,1.57,25.50,"53,040",16.3,15.72,17.43,22.95,32.89,39.51,"32,690","36,250","47,730","68,420","82,180",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-9031,Instructional Coordinators,detailed,980,9.3,0.965,0.95,36.01,"74,910",4.8,20.97,26.00,33.47,47.02,57.56,"43,610","54,080","69,610","97,800","119,730",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-9041,Teacher Assistants,detailed,"7,190",11.6,7.110,0.80,*,"31,540",2.6,*,*,*,*,*,"21,250","25,260","30,700","37,330","44,160",TRUE,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",25-9099,"Education, Training, and Library Workers, All Other",detailed,880,47.6,0.867,1.10,17.57,"36,550",18.2,9.81,10.48,11.60,20.50,37.25,"20,410","21,810","24,140","42,630","77,480",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,"13,600",5.3,13.440,1.01,34.40,"71,560",3.0,12.28,17.56,30.15,46.45,62.27,"25,550","36,530","62,710","96,610","129,520",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",27-1011,Art Directors,detailed,200,31.6,0.194,0.77,64.24,"133,630",3.3,31.15,44.02,60.90,81.74,#,"64,800","91,570","126,660","170,030",#,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",detailed,80,31.2,0.081,0.92,*,*,*,*,*,*,*,*,*,*,*,*,*,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",27-1014,Multimedia Artists and Animators,detailed,700,28.0,0.694,3.17,37.03,"77,030",4.2,21.28,26.09,34.94,45.61,57.51,"44,260","54,260","72,680","94,880","119,610",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",27-1021,Commercial and Industrial Designers,detailed,310,21.4,0.308,1.36,39.39,"81,930",4.8,25.17,30.56,37.44,47.91,57.22,"52,340","63,560","77,880","99,640","119,020",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",27-1022,Fashion Designers,detailed,60,48.4,0.063,0.45,*,*,*,*,*,*,*,*,*,*,*,*,*,,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",27-1023,Floral Designers,detailed,150,34.0,0.145,0.45,15.21,"31,630",10.3,9.92,11.19,15.31,18.22,21.65,"20,630","23,270","31,850","37,900","45,030",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",27-1024,Graphic Designers,detailed,"1,850",12.5,1.829,1.23,36.43,"75,780",2.4,19.07,25.80,34.30,45.61,58.31,"39,670","53,670","71,350","94,860","121,280",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",27-1025,Interior Designers,detailed,250,27.9,0.247,0.67,30.52,"63,490",6.8,17.32,22.79,30.51,36.45,42.42,"36,020","47,410","63,460","75,820","88,240",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",27-1026,Merchandise Displayers and Window Trimmers,detailed,350,10.3,0.343,0.47,16.60,"34,520",3.7,10.58,12.64,15.72,19.71,24.12,"22,010","26,300","32,700","40,990","50,170",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",27-1027,Set and Exhibit Designers,detailed,**,**,**,**,18.45,"38,370",26.8,10.25,12.28,14.64,18.75,34.46,"21,310","25,540","30,450","39,000","71,680",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",27-1029,"Designers, All Other",detailed,30,42.2,0.034,0.71,37.87,"78,770",13.9,16.14,17.76,31.22,45.08,80.27,"33,580","36,950","64,940","93,760","166,960",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",27-2011,Actors,detailed,90,40.1,0.089,0.24,25.64,*,23.0,11.88,12.93,14.52,50.41,57.36,*,*,*,*,*,,TRUE
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",27-2012,Producers and Directors,detailed,230,25.2,0.230,0.30,48.11,"100,080",7.4,20.63,25.82,42.80,67.51,79.50,"42,920","53,710","89,030","140,420","165,360",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",27-2022,Coaches and Scouts,detailed,"2,810",13.1,2.779,1.71,*,"40,410",8.0,*,*,*,*,*,"21,370","25,110","30,330","47,560","74,100",TRUE,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",27-2023,"Umpires, Referees, and Other Sports Officials",detailed,**,**,**,**,*,"40,870",2.3,*,*,*,*,*,"19,430","23,430","40,180","49,380","62,550",TRUE,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",27-2041,Music Directors and Composers,detailed,120,28.6,0.120,0.77,30.33,"63,090",4.5,16.06,22.03,30.40,38.91,44.84,"33,410","45,820","63,230","80,940","93,260",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",27-2042,Musicians and Singers,detailed,250,40.8,0.243,0.90,33.17,*,16.0,10.56,14.43,25.72,40.77,68.17,*,*,*,*,*,,TRUE
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",detailed,**,**,**,**,18.39,*,14.2,11.58,12.96,14.69,17.15,18.73,*,*,*,*,*,,TRUE
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",27-3011,Radio and Television Announcers,detailed,50,12.7,0.051,0.23,26.83,"55,810",25.4,9.68,12.47,16.57,18.92,46.21,"20,130","25,930","34,450","39,340","96,130",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",27-3012,Public Address System and Other Announcers,detailed,30,48.5,0.034,0.58,20.58,"42,800",23.9,9.20,9.34,16.34,31.81,38.61,"19,130","19,430","33,980","66,160","80,300",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",27-3022,Reporters and Correspondents,detailed,140,28.7,0.134,0.45,28.01,"58,260",10.3,14.07,16.99,22.15,36.19,54.09,"29,270","35,330","46,060","75,270","112,500",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",27-3031,Public Relations Specialists,detailed,"1,840",8.8,1.819,1.15,45.22,"94,060",3.9,19.27,28.81,41.13,57.47,82.64,"40,080","59,930","85,550","119,530","171,880",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",27-3041,Editors,detailed,630,16.5,0.622,0.89,42.19,"87,750",4.5,14.49,27.40,39.20,53.88,69.02,"30,150","56,990","81,530","112,060","143,560",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",27-3042,Technical Writers,detailed,"1,360",9.7,1.344,3.72,52.81,"109,850",3.1,31.50,42.51,54.16,63.72,74.64,"65,520","88,410","112,660","132,540","155,250",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",27-3043,Writers and Authors,detailed,400,27.9,0.395,1.25,34.86,"72,520",4.7,19.74,23.63,31.83,45.08,55.20,"41,060","49,150","66,210","93,770","114,810",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",27-3091,Interpreters and Translators,detailed,150,35.2,0.153,0.43,31.96,"66,480",5.5,19.64,26.93,32.24,36.90,44.19,"40,840","56,020","67,050","76,740","91,910",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",27-3099,"Media and Communication Workers, All Other",detailed,**,**,**,**,29.98,"62,360",11.2,12.95,15.19,28.61,42.04,47.61,"26,930","31,600","59,510","87,450","99,040",,
CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",27-4011,Audio and Video Equipment Technicians,detailed,520,26.6,0.510,1.13,23.86,"49,630",6.8,13.17,16.15,20.37,29.54,40.76,"27,380","33,580","42,370","61,440","84,780",,
