Case,Date,County,Company,Occupation,Agency,Violation,Trade,Outcome,Outcometype,Quantity
353FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Cen - Cal Construction,Concrete Construction , City of Kerman ," Apprenticeship, Overtime, Travel Pay "," Cement Masons, Laborers, Operators",Collection,Awarding Agency ,265.14
332ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",CMA Fire Protection dba RLH Fire Protection,Underground , County of Stanislaus Housing Authority ," Apprenticeship, Failure to Pay Prevailing Wages ", Operators,Collection,DLSE ,"12,234.60"
386FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Conergy Projects, Inc. aka CGY Atwater I, LLC",Solar Panel Installation/Underground , City of Atwater ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Travel Pay "," Laborers, Operators",Complaint,DLSE,
329FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Contech Concrete Techniques, Inc.",Building Construction , State of California Department of General Services ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Travel Pay "," Cement Masons, Laborers, Operators",Collection,DLSE ,"47,522.65"
351FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",D Batty Inc.,Site Work ," University of California, Merced "," Apprenticeship, Misclassification, Overtime ", Laborers,Assessment,DLSE ,"67,657.43"
351FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",D Batty Inc.,Site Work ," University of California, Merced "," Apprenticeship, Misclassification, Overtime ", Laborers,Collection,DLSE ,"27,104.33"
330FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Davis & Roberts Construction, Inc.",Concrete Construction , California Department of Transportation ," Apprenticeship, Failure to Pay Prevailing Wages, Streets & Highways Code 670.1 "," Laborers, Operators",Collection,DLSE ,"12,354.04"
370ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Designed Mobile Systems Industries, Inc.",Site Work/Modular Installation , New Jerusalem Elementary School District , Apprenticeship , Laborers,Collection,DLSE ,"1,080.00"
370ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Designed Mobile Systems Industries, Inc.",Site Work/Modular Installation , New Jerusalem Elementary School District , Apprenticeship , Laborers,Complaint,DLSE,
329FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Diamond Drywall Construction, Inc.",Building Construction , State of California Department of General Services ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Travel Pay "," Carpenters, Laborers",Collection,DLSE ,"42,932.47"
266FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Dick Emard Electric, Inc. dba Emard Electric",Underground , West Hills Community College District ," Fringe Benefits, IWC 16 "," Laborers, Operators",Collection,Lawsuit ,"50,625.00"
348ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Dirt Movers,Grading and Paving , California Department of Transportation ," Apprenticeship, Paid Private Rates, Streets & Highways Code 670.1 "," Laborers, Operators",Collection,DLSE ,"4,702.43"
352ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Dirt Movers,Site Work , California Department of Transportation ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Streets & Highways Code 670.1 "," Cement Masons, Laborers, Operators",Collection,DLSE ,"5,061.71"
357FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Dirt Movers,Street & Road , California Department of Transportation , Failure to Provide Certified Payroll Records ," Laborers, Operators",Assessment,DLSE ,"63,064.14"
357FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Dirt Movers,Street & Road , California Department of Transportation , Failure to Provide Certified Payroll Records ," Laborers, Operators",Collection,DLSE ,"63,064.14"
369FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Doug Parks and Son Plumbing,Underground , County of Kings ," IWC 16, Misclassification, Overtime ", Laborers,Assessment,DLSE ,"185,469.45"
369FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Doug Parks and Son Plumbing,Underground , County of Kings ," IWC 16, Misclassification, Overtime ", Laborers,Assessment,Stop Notice ,"57,740.00"
369FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Doug Parks and Son Plumbing,Underground , County of Kings ," IWC 16, Misclassification, Overtime ", Laborers,Collection,DLSE ,"37,169.46"
369FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Doug Parks and Son Plumbing,Underground , County of Kings ," IWC 16, Misclassification, Overtime ", Laborers,Forward,DLSE,
308FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Doumit Construction, Inc.",Underground , US Department of Commerce ," Misclassification, Overtime "," Laborers, Operators",Collection,Lawsuit ,"31,000.00"
378ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Dryco Construction, Inc.",Site Work , Empire Union School District ," Fringe Benefits, Travel Pay "," Laborers, Operators",Complaint,DLSE,
387FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Dryco Construction, Inc.",Grading and Paving , Modesto City Schools ," Expired Rates, Failure to Pay Prevailing Wages, Fringe Benefits, Overtime, Travel Pay "," Laborers, Operators",Complaint,DLSE,
329FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Dynamic Electrical Contracting, Inc.",Electrical Construction , State of California Department of General Services ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Travel, Pay "," Electricians, Laborers",Collection,DLSE ,"17,173.26"
370ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",E.S.R. Construction Incorporated,Site Work , New Jerusalem Elementary School District , Paid Private Rates ," Cement Masons, Laborers, Operators",Collection,DLSE ,"17,982.23"
370ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",E.S.R. Construction Incorporated,Site Work , New Jerusalem Elementary School District , Paid Private Rates ," Cement Masons, Laborers, Operators",Complaint,DLSE,
388FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",GC Builders,Concrete Construction , Merced County Housing Authority ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Travel Pay "," Cement Masons, Laborers, Operators",Complaint,DLSE,
345ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Gino/Giuseppe, Inc. dba G & G Construction Co.",Concrete Construction , California Department of Transportation ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Streets & Highways Code 670.1, Travel Pay "," Cement Masons, Laborers",Assessment,DLSE ,"73,355.93"
345ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Gino/Giuseppe, Inc. dba G & G Construction Co.",Concrete Construction , California Department of Transportation ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Streets & Highways Code 670.1, Travel Pay "," Cement Masons, Laborers",Collection,DLSE ,"7,300.00"
352ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Grant Construction, Inc.",Concrete Construction , California Department of Transportation ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Streets & Highways Code 670.1, Travel Pay "," Cement Masons, Laborers",Collection,DLSE ,"15,484.46"
370ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Grayson Engineering,Grading and Paving , New Jerusalem Elementary School District ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Travel Pay "," Laborers, Operators",Collection,DLSE ,"10,511.37"
370ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Grayson Engineering,Grading and Paving , New Jerusalem Elementary School District ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Travel Pay "," Laborers, Operators",Complaint,DLSE,
388FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",H. D. Matthews Demolition & Excavation,Demolition , Merced County Housing Authority ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Travel Pay "," Laborers, Operators",Complaint,DLSE,
356FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Haskell and Haskell Engineering and Construction Services, Inc.",Site Work ," University of California, Merced ", Apprenticeship ," Laborers, Operators",Collection,Awarding Agency ,520.75
375ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Hauzen, Inc.",Building Construction , City of Tracy ," Failure to Pay Prevailing Wages, IWC 16, Overtime ", Sheet Metal Worker,Assessment,Stop Notice ,"8,155.47"
375ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Hauzen, Inc.",Building Construction , City of Tracy ," Failure to Pay Prevailing Wages, IWC 16, Overtime ", Sheet Metal Worker,Assessment,Stop Notice ,"77,306.50"
375ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Hauzen, Inc.",Building Construction , City of Tracy ," Failure to Pay Prevailing Wages, IWC 16, Overtime ", Sheet Metal Worker,Complaint,Awarding Agency,
334FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","JT2, Inc. dba Todd Companies",Underground , City of Tulare ," Apprenticeship, Misclassification ", Teamsters (On Site),Assessment,DLSE ,943.7
334FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","JT2, Inc. dba Todd Companies",Underground , City of Tulare ," Apprenticeship, Misclassification ", Teamsters (On Site),Collection,DLSE ,"154,791.30"
340FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","JT2, Inc. dba Todd Companies",Underground , Fresno Unified School District ," Apprenticeship, Expired Rates, Failure to Pay Prevailing Wages, Overtime, Travel Pay "," Laborers, Operators, Plumbers, Teamsters (On Site)",Collection,DLSE ,"3,436.74"
341FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","JT2, Inc. dba Todd Companies",Underground , Fresno Unified School District ," Apprenticeship, Expired Rates, Failure to Pay Prevailing Wages, Overtime, Travel Pay, Underreporting of Workers "," Laborers, Operators, Plumbers, Teamsters (On Site)",Collection,DLSE ,"3,004.52"
342FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","JT2, Inc. dba Todd Companies",Underground , Fresno Unified School District ," Apprenticeship, Expired Rates, Failure to Pay Prevailing Wages, Fringe Benefits, Overtime, Travel Pay, Underreporting of Workers "," Laborers, Operators, Plumbers, Teamsters (On Site)",Collection,DLSE ,"2,629.02"
343FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","JT2, Inc. dba Todd Companies",Underground , Fresno Unified School District ," Apprenticeship, Expired Rates, Failure to Pay Prevailing Wages, Fringe Benefits, Overtime, Travel Pay, Underreporting of Workers "," Laborers, Operators, Plumbers, Teamsters (On Site)",Collection,DLSE ,"5,793.79"
368FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","JT2, Inc. dba Todd Companies",Street & Road , City of Tulare ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Travel Pay "," Cement Masons, Laborers, Operators",Assessment,DLSE ,"38,277.74"
271FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Kings Drywall, Inc. dba Kings Construction Group",Concrete Construction , Fresno County Economic Opportunities Commission ," Tax Issues, Workers Compensation "," Cement Masons, Laborers",Collection,District Attorney ,"91,666.66"
279ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Kings Drywall, Inc. dba Kings Construction Group",Concrete Construction , City of Manteca ," Tax Issues, Workers Compensation "," Cement Masons, Laborers",Collection,District Attorney ,"91,666.66"
327FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Lars Andersen & Associates, Inc.",Surveying , California Department of Transportation ," Apprenticeship, Paid Private Rates, Streets & Highways Code 670.1 ", Operators,Collection,DLSE ,"1,804.84"
386FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Lawrence Backhoe Service,Underground , City of Atwater ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Travel Pay "," Laborers, Operators",Complaint,DLSE,
348ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Layman Electric, Inc.",Underground , California Department of Transportation ," Apprenticeship, Paid Private Rates, Streets & Highways Code 670.1 "," Electricians, Laborers, Operators",Collection,DLSE ,"3,360.60"
376ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Lovett Excavating, Inc.",Site Work , California Department of Transportation ," Apprenticeship, Failure to Pay Prevailing Wages, Streets & Highways Code 670.1 "," Laborers, Operators",Collection,DLSE ,257.28
376ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Lovett Excavating, Inc.",Site Work , California Department of Transportation ," Apprenticeship, Failure to Pay Prevailing Wages, Streets & Highways Code 670.1 "," Laborers, Operators",Complaint,DLSE,
327FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Madco Electric, Inc.",Electrical Construction , California Department of Transportation ," Apprenticeship, Paid Private Rates, Streets & Highways Code 670.1 "," Electricians, Operators",Collection,DLSE ,"1,631.70"
373ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Marrs Playground Installation Co.,Landscape Construction , City of Livingston ," Apprenticeship, Failure to Pay Prevailing Wages, Holiday Pay Violation, Overtime, Travel Pay "," Iron, Workers, Laborers",Collection,DLSE ,"3,360.00"
373ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Marrs Playground Installation Co.,Landscape Construction , City of Livingston ," Apprenticeship, Failure to Pay Prevailing Wages, Holiday Pay Violation, Overtime, Travel Pay "," Iron, Workers, Laborers",Complaint,DLSE,
329FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","McCurley and Day Masonry, Inc.",Building Construction , State of California Department of General Services ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Travel Pay "," Cement Masons, Laborers",Collection,DLSE ,"1,808.06"
357FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","MCH Electric, Inc.",Electrical Construction/Traffic Signalization , California Department of Transportation , Failure to Provide Certified Payroll Records ," Electricians, Laborers",Assessment,DLSE ,"12,000.00"
357FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","MCH Electric, Inc.",Electrical Construction/Traffic Signalization , California Department of Transportation , Failure to Provide Certified Payroll Records ," Electricians, Laborers",Collection,DLSE ,"54,640.18"
370ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","MCH Electric, Inc.",Site Work/Electrical Construction , New Jerusalem Elementary School District ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Travel, Pay "," Electricians, Laborers, Operators",Assessment,DLSE ,"96,061.37"
370ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","MCH Electric, Inc.",Site Work/Electrical Construction , New Jerusalem Elementary School District ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Travel, Pay "," Electricians, Laborers, Operators",Complaint,DLSE,
308FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",McKuin Pipeline Inc.,Underground , US Department of Commerce ," Apprenticeship, Misclassification, Overtime, Travel Pay "," Laborers, Operators",Assessment,DLSE ,"41,269.59"
357FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Moore Twining Associates, Inc.",Testing & Inspection , California Department of Transportation ," Apprenticeship, Paid Private Rates, Streets & Highways Code 670.1 ", Operators,Collection,DLSE ,"14,578.02"
225ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Odyssey Landscaping Company, Inc.",Site Work , State of California Department of General Services ," IWC 16, Misclassification, Underreporting of Hours "," Cement Masons, Laborers, Operators",Collection,Lawsuit ,"33,000.00"
237FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Odyssey Landscaping Company, Inc.",Concrete Construction ," University of California, Merced "," IWC 16, Misclassification, Underreporting of Hours "," Cement Masons, Laborers, Operators",Collection,Lawsuit ,"33,000.00"
238FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Odyssey Landscaping Company, Inc.",Concrete Construction , County of Merced ," IWC 16, Misclassification, Underreporting of Hours "," Cement Masons, Laborers, Operators",Collection,Lawsuit ,"33,000.00"
240FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Odyssey Landscaping Company, Inc.",Landscape Construction , Fresno Unified School District ," IWC 16, Misclassification, Underreporting of Hours "," Cement Masons, Laborers, Operators",Collection,Lawsuit ,"33,000.00"
260ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Odyssey Landscaping Company, Inc.",Grading and Paving , City of Stockton Municipal Utilities District ," IWC 16, Misclassification, Underreporting of Hours "," Cement Masons, Laborers, Operators",Collection,Lawsuit ,"33,000.00"
332ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Pacific Masonry,Building Construction , County of Stanislaus Housing Authority ," Apprenticeship, Failure to Pay Prevailing Wages "," Laborers, Operators",Collection,DLSE ,"36,451.81"
363ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Patch Crew, Inc.",Street & Road , California Department of Transportation ," Apprenticeship, Overtime, Streets & Highways Code 670.1, Travel Pay "," Laborers, Operators",Collection,DLSE ,"1,181.87"
386FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Phase 1 Construction,Site Work/Underground , City of Atwater ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Travel Pay "," Cement Masons, Laborers, Operators",Complaint,DLSE,
370ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Precision Fence, Inc.",Fencing , New Jerusalem Elementary School District , Paid Private Rates , Laborers,Complaint,DLSE,
327FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","R. H. Kiggins Construction, Inc.",Concrete Construction , California Department of Transportation ," Apprenticeship, Failure to Pay Prevailing Wages, Streets & Highways Code 670.1 "," Cement Masons, Laborers",Collection,DLSE ,"1,731.65"
374ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Richter Fence, Inc.",Fencing , County of San Joaquin ," Apprenticeship, Misclassification "," Iron Workers, Laborers",Collection,Contractor ,"1,462.50"
374ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN","Richter Fence, Inc.",Fencing , County of San Joaquin ," Apprenticeship, Misclassification "," Iron Workers, Laborers",Complaint,Contractor,
348ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Ridgeline Engineering,Surveying , California Department of Transportation ," Apprenticeship, Paid Private Rates, Streets & Highways Code 670.1 ", Operators,Collection,DLSE ,"2,115.11"
355FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Rudnick Fence Co.,Fencing , Tulare City School District ," Apprenticeship, Misclassification "," Iron Workers, Laborers",Assessment,DLSE ,"28,371.26"
355FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Rudnick Fence Co.,Fencing , Tulare City School District ," Apprenticeship, Misclassification "," Iron Workers, Laborers",Collection,DLSE ,"1,620.03"
371FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Rumex Construction Corporation,Site Work/Underground , State of California Department of Highway Patrol ," Apprenticeship, Holiday Pay Violation, Overtime, Paid Private Rates, Travel Pay "," Cement Masons, Laborers, Operators",Complaint,DLSE,
372FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Rumex Construction Corporation,Site Work/Underground , State of California Department of General Services ," Apprenticeship, Misclassification, Overtime, Travel Pay, Underreporting of Hours "," Laborers, Operators",Assessment,DLSE ,"122,160.08"
372FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Rumex Construction Corporation,Site Work/Underground , State of California Department of General Services ," Apprenticeship, Misclassification, Overtime, Travel Pay, Underreporting of Hours "," Laborers, Operators",Complaint,DLSE,
373FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Rumex Construction Corporation,Site Work/Underground , State of California Department of General Services ," Apprenticeship, Misclassification, Overtime, Travel Pay "," Laborers, Operators",Assessment,DLSE ,"65,377.39"
373FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Rumex Construction Corporation,Site Work/Underground , State of California Department of General Services ," Apprenticeship, Misclassification, Overtime, Travel Pay "," Laborers, Operators",Complaint,DLSE,
380FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Rumex Construction Corporation,Underground , State of California Department of Highway Patrol ," Failure to Pay Prevailing Wages, Overtime, Subsistence, Travel Pay "," Laborers, Operators",Assessment,Stop Notice ,"5,337.99"
380FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Rumex Construction Corporation,Underground , State of California Department of Highway Patrol ," Failure to Pay Prevailing Wages, Overtime, Subsistence, Travel Pay "," Laborers, Operators",Complaint,DLSE,
381FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Rumex Construction Corporation,Underground , State of California Department of Highway Patrol ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Travel Pay "," Laborers, Operators",Assessment,DLSE ,"16,962.86"
381FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Rumex Construction Corporation,Underground , State of California Department of Highway Patrol ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Travel Pay "," Laborers, Operators",Complaint,DLSE,
382FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Rumex Construction Corporation,Underground , State of California Department of Highway Patrol ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Travel Pay "," Laborers, Operators",Assessment,DLSE ,"14,621.06"
382FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Rumex Construction Corporation,Underground , State of California Department of Highway Patrol ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Travel Pay "," Laborers, Operators",Complaint,DLSE,
383ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Rumex Construction Corporation,Underground , State of California Department of Highway Patrol ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Travel Pay "," Laborers, Operators",Complaint,DLSE,
384ST,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Rumex Construction Corporation,Underground , State of California Department of Highway Patrol ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Travel Pay "," Laborers, Operators",Complaint,DLSE,
385FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Rumex Construction Corporation,Underground , State of California Department of Highway Patrol ," Apprenticeship, Failure to Pay Prevailing Wages, Overtime, Travel Pay "," Laborers, Operators",Complaint,DLSE,
390FR,4/28/2015,"ALPINE, AMADOR, CALAVERAS, FRESNO, KINGS, MADERA, MARIPOSA, MERCED, SAN",Rumex Construction Corporation,Site Work/Underground , State of California Department of Highway Patrol ," Apprenticeship, Holiday Pay Violation, Overtime, Paid Private Rates, Travel Pay "," Cement Masons, Laborers, Operators",Complaint,DLSE,
